algorithm,dof,ATE,R2_val,R2_test,MSE_test,n_terms
SINDy,a_z,0.0333010868874688,0.7550431967231102,0.6187346708287778,5.802931526813552,47
Hybrid SINDy,a_z,0.0343434128291182,0.6313198961428632,0.7471749639937226,5.394947449701052,128
SINDy,a_x,0.0517489507185549,0.9662973137949296,0.9795130719817272,28.120423696277168,7
SR,a_z,0.0553452293583274,-0.8136063078098885,-0.023684293530231,18.743597597280925,3
Lagrange SINDy,a_z,0.060743514804134,0.2057805031645965,0.658220578207687,3.0786658067280666,34
SINDy,a_y,0.0621364469904989,0.981367913837282,0.9791966270643002,31.58733165453237,27
Lagrange SINDy,a_y,0.0779449706465164,0.9600466757580222,0.9432453297337636,63.29268541193331,3
SR,a_x,0.0797054284170444,0.9787574866518642,-0.6382393693589445,140.7805133027969,7
Lagrange SINDy,a_x,0.1063467818852925,0.9765159965275052,0.983897549955011,22.10227504139972,25
Hybrid SINDy,a_y,0.1875471287398522,0.9801635663027128,0.9476537225009588,68.6912614290374,11
SR,a_y,0.2033277111524238,0.9402263248428144,0.9392923990662736,78.04916387746445,3
Hybrid SINDy,a_x,0.2536317791047916,0.9828917516723124,0.9790720231707114,31.945840884877096,11
Hybrid SR,a_z,0.8386209558083163,-0.7097216767868699,-0.8901624801849564,31.91702420307337,3
Hybrid SR,a_x,19.71706180705688,0.96662957532839,0.9725770208930576,38.6932963819428,7
Hybrid SR,a_y,50.17039915687969,0.9605304290844372,0.9780681149418312,29.301972240158623,7
