feature,coefficient
q2 q3,-0.4404889986787442
q2 q1_dot,17.52088873784
q2 q3_dot,2.1792666633708704
q1_dot a3_theta,31.463682817339915
q2_dot^2,-1.3560981048774974
q3_dot a3_theta,2.4767253553608155
a1_x^2,-24.07479850877821
a1_x a3_theta,-4247250.066215181
a3_theta^2,-764505.934700987
sin(q3)*q3_dot,-5.063957744038828
sin(q3)*q1 q3_dot,8.595040193110007
sin(q3)*q3 q3_dot,2.0925568039372444
sin(q3)*q1_dot^2,-3.4327830007654936
sin(q3)*q1_dot a1_x,11.625295660993084
sin(q3)*q2_dot^2,0.9694019473941513
sin(q3)*q3_dot a3_theta,-2.7619619267057716
sin(q3)*a1_x^2,-17.939954826564886
cos(q3)*a3_theta,-467630302.35340554
cos(q3)*q2 a3_theta,2597946151.929143
cos(q3)*q2_dot a3_theta,-26.33961686851553
cos(q3)*q3_dot a3_theta,-2.732166242401718
cos(q3)*a1_x^2,-11.789619009069463
